excerpt,type,personality,category,atomicnumber,symbol,elementname,period,group,groupname,color
They are sweet.,INFP,The Mediator,Diplomats,1,Sw,Trait #1,1,A,Traits,#eddcd2
They are flexible.,ISFP,The Adventurer,Explorers,1,Fx,Trait #1,1,A,Traits,#eddcd2
They are passionate.,ENFJ,The Protagonist,Diplomats,1,Ps,Trait #1,1,A,Traits,#eddcd2
They are friendly.,ESFJ,The Consul,Sentinels,1,Fr,Trait #1,1,A,Traits,#eddcd2
They are thoughtful.,ENFP,The Campaigner,Diplomats,1,Th,Trait #1,1,A,Traits,#eddcd2
They are confident.,ESTP,The Entrepreneur,Explorers,1,Cn,Trait #1,1,A,Traits,#eddcd2
They are imaginative.,INTJ,The Architect,Analysts,1,Im,Trait #1,1,A,Traits,#eddcd2
They are practical.,ISTJ,The Logistician,Sentinels,1,Pc,Trait #1,1,A,Traits,#eddcd2
They are eccentric.,ENTP,The Debater,Analysts,1,Ec,Trait #1,1,A,Traits,#eddcd2
They are playful.,ESFP,The Entertainer,Explorers,1,Pf,Trait #1,1,A,Traits,#eddcd2
They are strategic.,ENTJ,The Commander,Analysts,1,St,Trait #1,1,A,Traits,#eddcd2
They are warm.,ISFJ,The Defender,Sentinels,1,Wm,Trait #1,1,A,Traits,#eddcd2
They are idealistic.,INFJ,The Advocate,Diplomats,1,Id,Trait #1,1,A,Traits,#eddcd2
They are innovative.,INTP,The Logician,Analysts,1,In,Trait #1,1,A,Traits,#eddcd2
They are action-oriented.,ISTP,The Virtuoso,Explorers,1,Ac,Trait #1,1,A,Traits,#eddcd2
They are responsible.,ESTJ,The Executive,Sentinels,1,Rs,Trait #1,1,A,Traits,#eddcd2
They are idealistic.,INFP,The Mediator,Diplomats,2,Id,Trait #2,2,A,Traits,#eddcd2
They are charismatic.,ISFP,The Adventurer,Explorers,2,Ch,Trait #2,2,A,Traits,#eddcd2
They are charismatic.,ENFJ,The Protagonist,Diplomats,2,Ch,Trait #2,2,A,Traits,#eddcd2
They are outgoing.,ESFJ,The Consul,Sentinels,2,Ou,Trait #2,2,A,Traits,#eddcd2
They are upbeat.,ENFP,The Campaigner,Diplomats,2,Up,Trait #2,2,A,Traits,#eddcd2
They are fearless.,ESTP,The Entrepreneur,Explorers,2,Fe,Trait #2,2,A,Traits,#eddcd2
They are strategic.,INTJ,The Architect,Analysts,2,St,Trait #2,2,A,Traits,#eddcd2
They are fact-minded.,ISTJ,The Logistician,Sentinels,2,Fa,Trait #2,2,A,Traits,#eddcd2
They are charming.,ENTP,The Debater,Analysts,2,Ch,Trait #2,2,A,Traits,#eddcd2
